prompt,left_0,left_1,left_2,left_3,right_0,right_1,right_2,right_3,gt
The Highland Cow is a beautiful animal,https://storage.yandexcloud.net/diffusion/0dbb67c001164e4f9a4876072281277f_0.png,https://storage.yandexcloud.net/diffusion/0dbb67c001164e4f9a4876072281277f_1.png,https://storage.yandexcloud.net/diffusion/0dbb67c001164e4f9a4876072281277f_2.png,https://storage.yandexcloud.net/diffusion/0dbb67c001164e4f9a4876072281277f_3.png,https://storage.yandexcloud.net/diffusion/35dd92a7aa114a64ada2dee8a4f81d4e_0.png,https://storage.yandexcloud.net/diffusion/35dd92a7aa114a64ada2dee8a4f81d4e_1.png,https://storage.yandexcloud.net/diffusion/35dd92a7aa114a64ada2dee8a4f81d4e_2.png,https://storage.yandexcloud.net/diffusion/35dd92a7aa114a64ada2dee8a4f81d4e_3.png,right
X-Wing over Manhattan,https://storage.yandexcloud.net/diffusion/714b8154d897436fa664f4d634340ab8_0.png,https://storage.yandexcloud.net/diffusion/714b8154d897436fa664f4d634340ab8_1.png,https://storage.yandexcloud.net/diffusion/714b8154d897436fa664f4d634340ab8_2.png,https://storage.yandexcloud.net/diffusion/714b8154d897436fa664f4d634340ab8_3.png,https://storage.yandexcloud.net/diffusion/a334880843cf4d2d80fc71fcdb2aa0f3_0.png,https://storage.yandexcloud.net/diffusion/a334880843cf4d2d80fc71fcdb2aa0f3_1.png,https://storage.yandexcloud.net/diffusion/a334880843cf4d2d80fc71fcdb2aa0f3_2.png,https://storage.yandexcloud.net/diffusion/a334880843cf4d2d80fc71fcdb2aa0f3_3.png,left
"A Dark, Spooky and gloomy Haunted kitchen with lot of dried fruits and dried vegetables",https://storage.yandexcloud.net/diffusion/b8f0fde261a941f690d55d0fee3db0dd_0.png,https://storage.yandexcloud.net/diffusion/b8f0fde261a941f690d55d0fee3db0dd_1.png,https://storage.yandexcloud.net/diffusion/b8f0fde261a941f690d55d0fee3db0dd_2.png,https://storage.yandexcloud.net/diffusion/b8f0fde261a941f690d55d0fee3db0dd_3.png,https://storage.yandexcloud.net/diffusion/fb1db595d402494398ea448f5cda9c31_0.png,https://storage.yandexcloud.net/diffusion/fb1db595d402494398ea448f5cda9c31_1.png,https://storage.yandexcloud.net/diffusion/fb1db595d402494398ea448f5cda9c31_2.png,https://storage.yandexcloud.net/diffusion/fb1db595d402494398ea448f5cda9c31_3.png,right
Mars landscape futurstic city,https://storage.yandexcloud.net/diffusion/93e3ce75872e4e39aa2f552e0f629702_0.png,https://storage.yandexcloud.net/diffusion/93e3ce75872e4e39aa2f552e0f629702_1.png,https://storage.yandexcloud.net/diffusion/93e3ce75872e4e39aa2f552e0f629702_2.png,https://storage.yandexcloud.net/diffusion/93e3ce75872e4e39aa2f552e0f629702_3.png,https://storage.yandexcloud.net/diffusion/b861dfd3f0cb436b91a8d226b052a68e_0.png,https://storage.yandexcloud.net/diffusion/b861dfd3f0cb436b91a8d226b052a68e_1.png,https://storage.yandexcloud.net/diffusion/b861dfd3f0cb436b91a8d226b052a68e_2.png,https://storage.yandexcloud.net/diffusion/b861dfd3f0cb436b91a8d226b052a68e_3.png,right
"a beach full of trash and dead animals, whales, fish",https://storage.yandexcloud.net/diffusion/8c117e827a07420b82d76c1f73462776_0.png,https://storage.yandexcloud.net/diffusion/8c117e827a07420b82d76c1f73462776_1.png,https://storage.yandexcloud.net/diffusion/8c117e827a07420b82d76c1f73462776_2.png,https://storage.yandexcloud.net/diffusion/8c117e827a07420b82d76c1f73462776_3.png,https://storage.yandexcloud.net/diffusion/320935e2ff394689a8f694183ba288ee_0.png,https://storage.yandexcloud.net/diffusion/320935e2ff394689a8f694183ba288ee_1.png,https://storage.yandexcloud.net/diffusion/320935e2ff394689a8f694183ba288ee_2.png,https://storage.yandexcloud.net/diffusion/320935e2ff394689a8f694183ba288ee_3.png,right
Photograph. Mordor photo. Manhattan photo,https://storage.yandexcloud.net/diffusion/9086dfff7c6540d09848d1fe8d7348e6_0.png,https://storage.yandexcloud.net/diffusion/9086dfff7c6540d09848d1fe8d7348e6_1.png,https://storage.yandexcloud.net/diffusion/9086dfff7c6540d09848d1fe8d7348e6_2.png,https://storage.yandexcloud.net/diffusion/9086dfff7c6540d09848d1fe8d7348e6_3.png,https://storage.yandexcloud.net/diffusion/6ed6d0b83c534202b126e3723808dd4d_0.png,https://storage.yandexcloud.net/diffusion/6ed6d0b83c534202b126e3723808dd4d_1.png,https://storage.yandexcloud.net/diffusion/6ed6d0b83c534202b126e3723808dd4d_2.png,https://storage.yandexcloud.net/diffusion/6ed6d0b83c534202b126e3723808dd4d_3.png,right
"sleeping cute baby turtle, under the sea",https://storage.yandexcloud.net/diffusion/6a49ccd23c284e0a84c2a5bc317aaf35_0.png,https://storage.yandexcloud.net/diffusion/6a49ccd23c284e0a84c2a5bc317aaf35_1.png,https://storage.yandexcloud.net/diffusion/6a49ccd23c284e0a84c2a5bc317aaf35_2.png,https://storage.yandexcloud.net/diffusion/6a49ccd23c284e0a84c2a5bc317aaf35_3.png,https://storage.yandexcloud.net/diffusion/9e0c17d0aa744a51a9003abb5befeba4_0.png,https://storage.yandexcloud.net/diffusion/9e0c17d0aa744a51a9003abb5befeba4_1.png,https://storage.yandexcloud.net/diffusion/9e0c17d0aa744a51a9003abb5befeba4_2.png,https://storage.yandexcloud.net/diffusion/9e0c17d0aa744a51a9003abb5befeba4_3.png,left
painting of a vast gothic library,https://storage.yandexcloud.net/diffusion/286fefab53e347a6aa4b3ae0a8fa8939_0.png,https://storage.yandexcloud.net/diffusion/286fefab53e347a6aa4b3ae0a8fa8939_1.png,https://storage.yandexcloud.net/diffusion/286fefab53e347a6aa4b3ae0a8fa8939_2.png,https://storage.yandexcloud.net/diffusion/286fefab53e347a6aa4b3ae0a8fa8939_3.png,https://storage.yandexcloud.net/diffusion/c48e73a34ba0489eaa30a31413ee430d_0.png,https://storage.yandexcloud.net/diffusion/c48e73a34ba0489eaa30a31413ee430d_1.png,https://storage.yandexcloud.net/diffusion/c48e73a34ba0489eaa30a31413ee430d_2.png,https://storage.yandexcloud.net/diffusion/c48e73a34ba0489eaa30a31413ee430d_3.png,right
"a comfortable survival shelter made out of a container home with an attached garden and a small tent extension on the side, exterior walls are made of transparent material allowing light to pass through, Yosemite national park green meadows with beautiful big redwood trees on the edge, Mountains in the background and a creek running calmly through the meadow, Blue hour and a visible milkyway in the sky",https://storage.yandexcloud.net/diffusion/62945541a5464113b34afa4ab403ce9c_0.png,https://storage.yandexcloud.net/diffusion/62945541a5464113b34afa4ab403ce9c_1.png,https://storage.yandexcloud.net/diffusion/62945541a5464113b34afa4ab403ce9c_2.png,https://storage.yandexcloud.net/diffusion/62945541a5464113b34afa4ab403ce9c_3.png,https://storage.yandexcloud.net/diffusion/f3975d68747040ed84db2a0042173a5c_0.png,https://storage.yandexcloud.net/diffusion/f3975d68747040ed84db2a0042173a5c_1.png,https://storage.yandexcloud.net/diffusion/f3975d68747040ed84db2a0042173a5c_2.png,https://storage.yandexcloud.net/diffusion/f3975d68747040ed84db2a0042173a5c_3.png,left
Priests gathering at aztec pyramid in jungle,https://storage.yandexcloud.net/diffusion/c50103dd66714bcea93162710e1553d1_0.png,https://storage.yandexcloud.net/diffusion/c50103dd66714bcea93162710e1553d1_1.png,https://storage.yandexcloud.net/diffusion/c50103dd66714bcea93162710e1553d1_2.png,https://storage.yandexcloud.net/diffusion/c50103dd66714bcea93162710e1553d1_3.png,https://storage.yandexcloud.net/diffusion/439f4b4eed4743558916f8caf5bfc4ef_0.png,https://storage.yandexcloud.net/diffusion/439f4b4eed4743558916f8caf5bfc4ef_1.png,https://storage.yandexcloud.net/diffusion/439f4b4eed4743558916f8caf5bfc4ef_2.png,https://storage.yandexcloud.net/diffusion/439f4b4eed4743558916f8caf5bfc4ef_3.png,right
"Arab man light beard, curly hair, swordsman",https://storage.yandexcloud.net/diffusion/0a6e4fff0ff54fbc8c1accfc028fee76_0.png,https://storage.yandexcloud.net/diffusion/0a6e4fff0ff54fbc8c1accfc028fee76_1.png,https://storage.yandexcloud.net/diffusion/0a6e4fff0ff54fbc8c1accfc028fee76_2.png,https://storage.yandexcloud.net/diffusion/0a6e4fff0ff54fbc8c1accfc028fee76_3.png,https://storage.yandexcloud.net/diffusion/35e21506d83a4894aa34c08783e72d7d_0.png,https://storage.yandexcloud.net/diffusion/35e21506d83a4894aa34c08783e72d7d_1.png,https://storage.yandexcloud.net/diffusion/35e21506d83a4894aa34c08783e72d7d_2.png,https://storage.yandexcloud.net/diffusion/35e21506d83a4894aa34c08783e72d7d_3.png,left
Portrait of beautiful angel,https://storage.yandexcloud.net/diffusion/4a0183d27dba4986a4de97049ad8bb95_0.png,https://storage.yandexcloud.net/diffusion/4a0183d27dba4986a4de97049ad8bb95_1.png,https://storage.yandexcloud.net/diffusion/4a0183d27dba4986a4de97049ad8bb95_2.png,https://storage.yandexcloud.net/diffusion/4a0183d27dba4986a4de97049ad8bb95_3.png,https://storage.yandexcloud.net/diffusion/11ef0e5cde9d4867a64d83e67051491d_0.png,https://storage.yandexcloud.net/diffusion/11ef0e5cde9d4867a64d83e67051491d_1.png,https://storage.yandexcloud.net/diffusion/11ef0e5cde9d4867a64d83e67051491d_2.png,https://storage.yandexcloud.net/diffusion/11ef0e5cde9d4867a64d83e67051491d_3.png,right
"Cabela's beautiful comfortable modular insulated wall kit - house all weather family dwelling tent house, person in foreground, mountainous forested wilderness open fields",https://storage.yandexcloud.net/diffusion/b7ae7ae3751d4d3090b0887b5613d4ef_0.png,https://storage.yandexcloud.net/diffusion/b7ae7ae3751d4d3090b0887b5613d4ef_1.png,https://storage.yandexcloud.net/diffusion/b7ae7ae3751d4d3090b0887b5613d4ef_2.png,https://storage.yandexcloud.net/diffusion/b7ae7ae3751d4d3090b0887b5613d4ef_3.png,https://storage.yandexcloud.net/diffusion/4b26de992ba74982b9ef08ac57eeab03_0.png,https://storage.yandexcloud.net/diffusion/4b26de992ba74982b9ef08ac57eeab03_1.png,https://storage.yandexcloud.net/diffusion/4b26de992ba74982b9ef08ac57eeab03_2.png,https://storage.yandexcloud.net/diffusion/4b26de992ba74982b9ef08ac57eeab03_3.png,left
A mountain in the shape of wolf dental arch,https://storage.yandexcloud.net/diffusion/4a993291a259444998e5b08d89322ee1_0.png,https://storage.yandexcloud.net/diffusion/4a993291a259444998e5b08d89322ee1_1.png,https://storage.yandexcloud.net/diffusion/4a993291a259444998e5b08d89322ee1_2.png,https://storage.yandexcloud.net/diffusion/4a993291a259444998e5b08d89322ee1_3.png,https://storage.yandexcloud.net/diffusion/142369314c3d41c6bc0566583a89b1c1_0.png,https://storage.yandexcloud.net/diffusion/142369314c3d41c6bc0566583a89b1c1_1.png,https://storage.yandexcloud.net/diffusion/142369314c3d41c6bc0566583a89b1c1_2.png,https://storage.yandexcloud.net/diffusion/142369314c3d41c6bc0566583a89b1c1_3.png,left
tokyo city market,https://storage.yandexcloud.net/diffusion/e28939b43246445aa07cc13392251615_0.png,https://storage.yandexcloud.net/diffusion/e28939b43246445aa07cc13392251615_1.png,https://storage.yandexcloud.net/diffusion/e28939b43246445aa07cc13392251615_2.png,https://storage.yandexcloud.net/diffusion/e28939b43246445aa07cc13392251615_3.png,https://storage.yandexcloud.net/diffusion/814a0f91d138448cbf33fdd07f1b597f_0.png,https://storage.yandexcloud.net/diffusion/814a0f91d138448cbf33fdd07f1b597f_1.png,https://storage.yandexcloud.net/diffusion/814a0f91d138448cbf33fdd07f1b597f_2.png,https://storage.yandexcloud.net/diffusion/814a0f91d138448cbf33fdd07f1b597f_3.png,right
A human skull floating in deep dark murky water,https://storage.yandexcloud.net/diffusion/ee9705c1541b48e49faf8ad0f42056e3_0.png,https://storage.yandexcloud.net/diffusion/ee9705c1541b48e49faf8ad0f42056e3_1.png,https://storage.yandexcloud.net/diffusion/ee9705c1541b48e49faf8ad0f42056e3_2.png,https://storage.yandexcloud.net/diffusion/ee9705c1541b48e49faf8ad0f42056e3_3.png,https://storage.yandexcloud.net/diffusion/8231dedf785d4f7b8fb9fbff25ebe119_0.png,https://storage.yandexcloud.net/diffusion/8231dedf785d4f7b8fb9fbff25ebe119_1.png,https://storage.yandexcloud.net/diffusion/8231dedf785d4f7b8fb9fbff25ebe119_2.png,https://storage.yandexcloud.net/diffusion/8231dedf785d4f7b8fb9fbff25ebe119_3.png,left
"Beautiful meadow at sunrise, thin morning fog hovering close to the ground",https://storage.yandexcloud.net/diffusion/d0560d52e0ce4260ba5991486474e0b4_0.png,https://storage.yandexcloud.net/diffusion/d0560d52e0ce4260ba5991486474e0b4_1.png,https://storage.yandexcloud.net/diffusion/d0560d52e0ce4260ba5991486474e0b4_2.png,https://storage.yandexcloud.net/diffusion/d0560d52e0ce4260ba5991486474e0b4_3.png,https://storage.yandexcloud.net/diffusion/687786077549401b9cf83353548f0409_0.png,https://storage.yandexcloud.net/diffusion/687786077549401b9cf83353548f0409_1.png,https://storage.yandexcloud.net/diffusion/687786077549401b9cf83353548f0409_2.png,https://storage.yandexcloud.net/diffusion/687786077549401b9cf83353548f0409_3.png,left
painting of pripyat,https://storage.yandexcloud.net/diffusion/3a101afb5151489b980ba415c83a6530_0.png,https://storage.yandexcloud.net/diffusion/3a101afb5151489b980ba415c83a6530_1.png,https://storage.yandexcloud.net/diffusion/3a101afb5151489b980ba415c83a6530_2.png,https://storage.yandexcloud.net/diffusion/3a101afb5151489b980ba415c83a6530_3.png,https://storage.yandexcloud.net/diffusion/bb777c8d9b9f431980f45aa05394e888_0.png,https://storage.yandexcloud.net/diffusion/bb777c8d9b9f431980f45aa05394e888_1.png,https://storage.yandexcloud.net/diffusion/bb777c8d9b9f431980f45aa05394e888_2.png,https://storage.yandexcloud.net/diffusion/bb777c8d9b9f431980f45aa05394e888_3.png,left
"Post apocalyptic shopping center, raining, building, avenue",https://storage.yandexcloud.net/diffusion/a82376521cb64873b44b6e4eb5f6b1fa_0.png,https://storage.yandexcloud.net/diffusion/a82376521cb64873b44b6e4eb5f6b1fa_1.png,https://storage.yandexcloud.net/diffusion/a82376521cb64873b44b6e4eb5f6b1fa_2.png,https://storage.yandexcloud.net/diffusion/a82376521cb64873b44b6e4eb5f6b1fa_3.png,https://storage.yandexcloud.net/diffusion/a61dae6ef9ee479c9ce11620cbdd7a05_0.png,https://storage.yandexcloud.net/diffusion/a61dae6ef9ee479c9ce11620cbdd7a05_1.png,https://storage.yandexcloud.net/diffusion/a61dae6ef9ee479c9ce11620cbdd7a05_2.png,https://storage.yandexcloud.net/diffusion/a61dae6ef9ee479c9ce11620cbdd7a05_3.png,left
Fallout interior render,https://storage.yandexcloud.net/diffusion/05d2dc8e8da4453e8cdd9e57e4bc7e70_0.png,https://storage.yandexcloud.net/diffusion/05d2dc8e8da4453e8cdd9e57e4bc7e70_1.png,https://storage.yandexcloud.net/diffusion/05d2dc8e8da4453e8cdd9e57e4bc7e70_2.png,https://storage.yandexcloud.net/diffusion/05d2dc8e8da4453e8cdd9e57e4bc7e70_3.png,https://storage.yandexcloud.net/diffusion/39cdec58f55f410f9a34850f1137fa51_0.png,https://storage.yandexcloud.net/diffusion/39cdec58f55f410f9a34850f1137fa51_1.png,https://storage.yandexcloud.net/diffusion/39cdec58f55f410f9a34850f1137fa51_2.png,https://storage.yandexcloud.net/diffusion/39cdec58f55f410f9a34850f1137fa51_3.png,right
"Vampires fighting in a party in the interior of gothic dark castle, red pool fountain, louis xv furniture",https://storage.yandexcloud.net/diffusion/33da394c7c6742ea8a18d509793675c9_0.png,https://storage.yandexcloud.net/diffusion/33da394c7c6742ea8a18d509793675c9_1.png,https://storage.yandexcloud.net/diffusion/33da394c7c6742ea8a18d509793675c9_2.png,https://storage.yandexcloud.net/diffusion/33da394c7c6742ea8a18d509793675c9_3.png,https://storage.yandexcloud.net/diffusion/0cf6d8e3d5f348d7a05802d5def4de44_0.png,https://storage.yandexcloud.net/diffusion/0cf6d8e3d5f348d7a05802d5def4de44_1.png,https://storage.yandexcloud.net/diffusion/0cf6d8e3d5f348d7a05802d5def4de44_2.png,https://storage.yandexcloud.net/diffusion/0cf6d8e3d5f348d7a05802d5def4de44_3.png,left
"A vast indoor growing operation on the edge of space, in a massive cavernous iron city",https://storage.yandexcloud.net/diffusion/4287dd2f8096495f8da41208c0683749_0.png,https://storage.yandexcloud.net/diffusion/4287dd2f8096495f8da41208c0683749_1.png,https://storage.yandexcloud.net/diffusion/4287dd2f8096495f8da41208c0683749_2.png,https://storage.yandexcloud.net/diffusion/4287dd2f8096495f8da41208c0683749_3.png,https://storage.yandexcloud.net/diffusion/f543520e8d924f3eabb409ca1c62ebe9_0.png,https://storage.yandexcloud.net/diffusion/f543520e8d924f3eabb409ca1c62ebe9_1.png,https://storage.yandexcloud.net/diffusion/f543520e8d924f3eabb409ca1c62ebe9_2.png,https://storage.yandexcloud.net/diffusion/f543520e8d924f3eabb409ca1c62ebe9_3.png,right
Steampunk greenhouse interior,https://storage.yandexcloud.net/diffusion/f39db96d1c524caf829d4c0c4575cd0d_0.png,https://storage.yandexcloud.net/diffusion/f39db96d1c524caf829d4c0c4575cd0d_1.png,https://storage.yandexcloud.net/diffusion/f39db96d1c524caf829d4c0c4575cd0d_2.png,https://storage.yandexcloud.net/diffusion/f39db96d1c524caf829d4c0c4575cd0d_3.png,https://storage.yandexcloud.net/diffusion/6aece8b247a84b8d9e0047268313886e_0.png,https://storage.yandexcloud.net/diffusion/6aece8b247a84b8d9e0047268313886e_1.png,https://storage.yandexcloud.net/diffusion/6aece8b247a84b8d9e0047268313886e_2.png,https://storage.yandexcloud.net/diffusion/6aece8b247a84b8d9e0047268313886e_3.png,left
Portrait of a blue genasi tempest priest,https://storage.yandexcloud.net/diffusion/6f47e00a0cd34a579ddadfe5df47bb54_0.png,https://storage.yandexcloud.net/diffusion/6f47e00a0cd34a579ddadfe5df47bb54_1.png,https://storage.yandexcloud.net/diffusion/6f47e00a0cd34a579ddadfe5df47bb54_2.png,https://storage.yandexcloud.net/diffusion/6f47e00a0cd34a579ddadfe5df47bb54_3.png,https://storage.yandexcloud.net/diffusion/47fa450d19ab4ebea8cfb5225538fb0b_0.png,https://storage.yandexcloud.net/diffusion/47fa450d19ab4ebea8cfb5225538fb0b_1.png,https://storage.yandexcloud.net/diffusion/47fa450d19ab4ebea8cfb5225538fb0b_2.png,https://storage.yandexcloud.net/diffusion/47fa450d19ab4ebea8cfb5225538fb0b_3.png,left
"A portrait of a rough male farmer in world war 2, 1 9 4 0 setting",https://storage.yandexcloud.net/diffusion/b23e433c1028467c9bc5718f7e995063_0.png,https://storage.yandexcloud.net/diffusion/b23e433c1028467c9bc5718f7e995063_1.png,https://storage.yandexcloud.net/diffusion/b23e433c1028467c9bc5718f7e995063_2.png,https://storage.yandexcloud.net/diffusion/b23e433c1028467c9bc5718f7e995063_3.png,https://storage.yandexcloud.net/diffusion/597fe44917c84754a281ef126dc6b2b3_0.png,https://storage.yandexcloud.net/diffusion/597fe44917c84754a281ef126dc6b2b3_1.png,https://storage.yandexcloud.net/diffusion/597fe44917c84754a281ef126dc6b2b3_2.png,https://storage.yandexcloud.net/diffusion/597fe44917c84754a281ef126dc6b2b3_3.png,right
