Prompt,Type,Orientation,Filtered,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Portrait of a knight, holding a sword, victorian, concept art, detailed face, fantasy, close up face, highly detailed, cinematic lighting, digital art painting by greg rutkowski",portrait,portrait,"Portrait of a knight, holding a sword, victorian",,,
"Winterfell walls gate, lanscape, calm feeling, green grass, clouded, beautiful, clean colors, by marc simonetti",landscape,album,"Winterfell walls gate, lanscape",,,
"Dream fantasy in little european town, magic, lanscape, modern, night, dusk, neon lights, perspective, street view, art by makoto shinkai",buildings,album,Dream fantasy in little european town,,,
"A gigantic paleolothic torus made of stone with highly detailed carvings of intricate shamanic robotic electronics and circuitry, in a mediterranean lanscape, inside a valley overlooking the sea, in the style of andreas rocha",landscape,square,"gigantic paleolothic torus made of stone with carvings of shamanic robotic electronics and circuitry, in a mediterranean lanscape, inside a valley overlooking the sea",,,
"Cinematic silk road lanscape, rocket ship, space station, science fiction scene, epic lighting, cinematic compositon, hyperrealistic",landscape,album,"silk road lanscape, rocket ship, space station",,,
"Interior of an alien spaceship, highly detailed, digital artwork, octane render",interior,square,Interior of an alien spaceship,,,
"Halo 3 interiors, beautiful lighting, vivid colors, intricate, elegant, smooth, sharp focus, highly detailed digital painting, concept art, cinematic, unreal engine, 4 k wallpaper, art by syd mead, terada katsuya, atey ghailan, svetlin velinov, cgsociety, artstation trending",interior,square,Halo 3 interiors,,,
"Futuristic city center with 890j maglev train in background, modern landscape architectural design for brutalist industrialpunk black and white concrete and glass, train with maroon, white and teal metallic accents, gorgeous lighting, golden hour, cyberpunk, 2077, dramatic lighting and composition, photography, 8k, origin 100i, star citizen concept art, single line, golden ratio, artstation, trending on artstation, minimalistic composition, side profile, tokyo, jr sc maglev, tgv, eurostar",buildings,album,Futuristic city center with 890j maglev train in background,,,
"A potrait of a space fanstasy cat, fine details. night setting. realistic shaded lighting poster by ilya kuvshinov katsuhiro, artgerm, jeremy lipkin and michael garmash, unreal engine, radiant light, detailed and intricate environment, digital art, trending on art station",animals,portrait,A potrait of a space fanstasy cat,,,
"An interstellar cat in a spacesuit, cinematic, 4k, digital art, award winning",animals,square,An interstellar cat in a spacesuit,,,
"5 5 mm portrait photo of an armored demonic undead deer with antlers, in a magical forest looking at the camera. dark atmosphere. art by greg rutkowski and luis royo. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0.",animals,album,"portrait photo of an armored demonic undead deer with antlers, in a magical forest looking at the camera",,,
Whale spaceship flying near a red dwarf star,animals,square,Whale spaceship flying near a red dwarf star,,,
"A fancy portrait of a monstrous frog covered in blue flames by greg rutkowski, sung choi, mitchell mohrhauser, maciej kuciara, johnson ting, maxim verehin, peter konig, bloodborne, 8k photorealistic, cinematic lighting, hd, high details, atmospheric, trending on artstation",animals,portrait,A portrait of a monstrous frog covered in blue flames,,,
"Vicious dog with three heads, glowing eyes and matted fur, sinister portrait, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, dramatic, cinematic sunset, hearthstone, art by artgerm and greg rutkowski and alphonse mucha",animals,portrait,"Vicious dog with three heads, glowing eyes and matted fur",,,
"A golden tiger resting, dragon body, highly detailed face, close-up, fantasy art, monster art, in the style of greg rutkowski, illustration, epic, fantasy, intricate, hyper detailed, artstation, concept art, smooth, sharp focus, ray tracing",animals,portrait,"A golden tiger resting, dragon body",,,
"Anthropomorphic torus brain in edgy darkiron camel, intricate, elegant, highly detailed animal monster, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm, dwayne barlowe, trending on artstation and greg rutkowski and alphonse mucha, 8 k",other,portrait,torus brain in edgy darkiron camel,,,
"An isolated apple tree, 3 d render, art nouveau style, ultra realistic, masked transparent flat background, popular on sketchfab, pixelsquid, 8 k, volumetric lighting, super focused, no blur, trending on artstation, octane render, ultra detailed, hyperrealistic, by artgerm and alphonse mucha",other,portrait,An isolated apple tree,,,
"Steampunk helmet fantasy art mask robot ninja stylized digital illustration sharp focus, elegant intricate digital painting artstation concept art global illumination ray tracing advanced technology chaykin howard and campionpascale and cooke darwyn and davis jack",other,portrait,Steampunk helmet mask robot,,,
"Photorealistic heaven made of fruit basket, detailed, centered, digital painting, artstation, concept art, donato giancola, joseph christian leyendecker, wlop, boris vallejo, breathtaking, 8 k resolution, extremely detailed, beautiful, establishing shot, artistic, hyperrealistic, beautiful face, octane render, cinematic lighting, dramatic lighting, masterpiece",other,square,heaven made of fruit basket,,,
"Wrc rally car stylized, design 3 dmax vray maya pixar unreal 5, hyperrealistic, octane render, dynamic lighting, intricate detail, harvest fall vibrancy, cinematic beeple, by thomas kinkade global illumination ray tracing hdr, art gta 5 cover, official fanart behance hd artstation by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, ossdraws, that looks like it is from borderlands and by feng zhu and loish and laurie greasley, victo ngai, andreas rocha, john harris",other,album,Wrc rally car stylized,,,
"American phone booth with antenna in the woods, hyper realism, cinematic, volumetric lighting, octane render, unreal engine, 8 k, concept art, digital art, deviantart artstation",other,portrait,American phone booth with antenna in the woods,,,
"depiction of the beginning of the universe inside a snow globe, surreal, award winning, highly detailed, style by mark rogers, paul bonner, oil on canvas. ”",other,square,depiction of the beginning of the universe inside a snow globe,,,
"Blue flame captured in a bottle, 4 k, photography, highly detailed",other,square,Blue flame captured in a bottle,,,
